gen,block,line,level,day,patch,no_dispersals,value
2,1,4,high,3,a,1,18
2,1,4,high,3,b,1,48
2,1,4,high,3,b,2,98
2,1,4,high,4,a,0,19
2,1,4,high,4,a,1,17
2,1,4,high,4,a,2,8
2,1,4,high,4,b,1,15
2,1,4,high,4,b,2,50
2,1,4,high,4,b,3,90
2,1,4,low,2,a,0,181
2,1,4,low,2,b,1,19
2,1,4,low,3,a,0,140
2,1,4,low,3,a,1,9
2,1,4,low,3,b,1,41
2,1,4,low,3,b,2,10
2,1,4,low,4,a,0,73
2,1,4,low,4,a,1,21
2,1,4,low,4,a,2,0
2,1,4,low,4,b,1,55
2,1,4,low,4,b,2,27
2,1,4,low,4,b,3,10
2,1,5,high,2,a,0,120
